(1.01,0.00)
(1.01,9.28)
(0.78,0.00)
(0.78,9.66)
(0.64,0.00)
(0.64,9.61)
(0.84,0.00)
(0.84,9.28)
(0.92,0.00)
(0.92,9.40)
(1.39,0.00)
(1.39,8.86)
(1.57,0.00)
(1.57,8.84)
(1.89,0.00)
(1.89,8.81)
(2.22,0.00)
(2.22,8.65)
(2.72,0.00)
(2.72,8.77)
(2.78,0.00)
(2.78,8.59)
(3.17,0.00)
(3.17,8.65)
(3.13,0.00)
(3.13,8.81)
(3.31,0.00)
(3.31,8.65)
(3.73,0.00)
(3.73,8.77)
(3.90,0.00)
(3.90,4.52)
(4.26,0.00)
(4.26,8.65)
(4.30,0.00)
(4.30,8.77)
(4.91,0.00)
(4.91,4.33)
(4.83,0.00)
(4.83,3.05)
(5.23,0.00)
(5.23,4.88)
(5.44,0.00)
(5.44,3.19)
(5.74,0.00)
(5.74,3.01)
(6.00,0.00)
(6.00,2.77)
(6.41,0.00)
(6.41,2.59)
(6.72,0.00)
(6.72,2.36)
(7.00,0.00)
(7.00,2.41)
(7.12,0.00)
(7.12,2.40)
(7.49,0.00)
(7.49,2.17)
(7.77,0.00)
(7.77,2.17)
(8.20,0.00)
(8.20,2.36)
(8.30,0.00)
(8.30,2.38)
(8.54,0.00)
(8.54,2.38)
(8.72,0.00)
(8.72,2.38)
(8.68,0.00)
(8.68,2.38)
(8.96,0.00)
(8.96,2.57)
(9.13,0.00)
(9.13,2.75)
(9.21,0.00)
(9.21,3.34)
(9.55,0.00)
(9.55,3.40)
(9.93,0.00)
(9.93,18.61)
(9.88,0.00)
(9.88,3.67)
(10.35,0.00)
(10.35,18.80)
(10.28,0.00)
(10.28,18.32)
(10.44,0.00)
(10.44,18.61)
(10.36,0.00)
(10.36,18.61)
(10.22,0.00)
(10.22,18.61)
(10.22,0.00)
(10.22,18.50)
(10.93,0.00)
(10.93,18.48)
(10.99,0.00)
(10.99,18.46)
(11.01,0.00)
(11.01,18.46)
(10.99,0.00)
(10.99,17.78)
(10.85,0.00)
(10.85,18.16)
(10.68,0.00)
(10.68,18.50)
(10.83,0.00)
(10.83,18.63)
(11.05,0.00)
(11.05,18.68)
(11.26,0.00)
(11.26,18.84)
(11.62,0.00)
(11.62,18.84)
